agua / mL,KMnO4 / mL
16.00,22.50
16.10,22.40
16.00,22.50
16.12,22.41
16.16,22.38
15.98,22.39
16.10,22.35
16.11,22.38
16.09,22.40
16.00,22.41
16.00,22.43
16.00,22.40
16.18,22.42
16.00,22.40
16.00,22.40
16.00,22.45
16.09,22.40
16.05,22.38
