agua / mL,KMnO4 / mL
17.34,15.12
17.3,15.1
17.4,15.09
17.35,15.08
17.45,15.1
17.38,15.12
17.35,15.2
17.34,15.11
17.3,15.1
17.3,15.15
17.3,15.1
17.22,15.11
17.41,15.1
17.35,15.1
17.41,15.1
17.39,15.2
